HAC,DEN,BHC
426.279,2.18878,428.766
426.16,2.18806,428.206
426.018,2.18718,427.905
425.942,2.18612,427.818
425.813,2.18488,427.745
425.65,2.18352,427.837
425.607,2.18204,428.299
425.688,2.18053,428.999
425.736,2.17903,429.613
425.505,2.17757,429.974
425.437,2.17643,431.198
425.851,2.17598,433.149
426.401,2.17651,434.737
426.716,2.17789,435.856
426.777,2.17944,436.194
426.592,2.18041,435.628
426.078,2.18023,434.266
425.528,2.17891,433.169
425.355,2.17674,433.06
425.303,2.17403,432.967
425.263,2.17125,433.113
425.395,2.16885,433.552
425.607,2.16699,433.866
425.738,2.16563,433.887
425.306,2.16461,433.317
423.813,2.16384,431.897
424.229,2.16355,433.822
427.143,2.16587,438.977
426.469,2.17051,438.217
425.596,2.17318,431.618
424.551,2.17321,429.026
423.579,2.17213,431.984
422.917,2.17069,433.978
423.249,2.16929,435.067
424.65,2.16828,436.601
425.437,2.16773,437.043
425.825,2.16773,436.862
426.365,2.16859,437.179
426.617,2.17022,437.077
426.297,2.17205,436.109
425.68,2.17348,435.06
424.983,2.1744,434.416
425.29,2.17541,435.326
426.552,2.17716,437.044
427.208,2.17957,437.399
427.039,2.18207,436.49
426.779,2.18397,435.253
426.412,2.18491,433.56
425.816,2.18483,431.897
424.809,2.18389,430.246
425.527,2.1827,432.045
427.259,2.18242,435.193
426.857,2.18272,433.283
426.2,2.18243,429.656
425.325,2.18173,429.77
425.05,2.18087,431.755
425.206,2.17985,433.274
425.322,2.1788,433.992
425.198,2.178,434.395
425.594,2.17788,435.557
426.353,2.17842,436.716
426.462,2.17898,436.333
426.035,2.17907,435.193
425.704,2.17875,434.738
425.668,2.17825,434.846
425.84,2.17783,435.141
426.191,2.17764,435.528
426.362,2.17756,435.383
426.261,2.17736,434.74
426.05,2.17689,434.063
425.86,2.17603,433.362
425.795,2.17483,432.798
425.868,2.17347,432.523
425.406,2.17206,431.361
423.739,2.17047,428.814
426.884,2.1697,434.456
426.693,2.17443,437.814
425.621,2.17993,433.936
424.947,2.18005,425.239
423.463,2.17636,422.381
420.134,2.17193,425.303
419.126,2.16768,428.983
421.988,2.16333,432.702
424.313,2.15919,434.301
425.604,2.15552,434.49
425.853,2.15222,433.727
425.705,2.14902,432.964
425.367,2.14593,432.577
424.903,2.14289,432.374
424.706,2.14011,432.631
425.03,2.13787,433.453
425.595,2.13629,434.354
425.886,2.1353,434.84
425.985,2.13464,434.929
426.034,2.13396,434.873
426.005,2.13295,434.757
425.741,2.13143,434.625
425.625,2.12961,434.952
425.408,2.12809,435.277
424.415,2.12706,434.997
421.373,2.12677,433.525
412.083,2.12832,427.696
402.13,2.13228,421.681
409.537,2.13525,427.303
421.153,2.13577,433.251
424.277,2.13531,432.817
425.809,2.13496,431.16
426.715,2.135,429.741
426.992,2.13566,428.756
426.749,2.13725,428.454
426.342,2.13984,429.188
426.095,2.14298,430.574
425.773,2.1461,431.472
425.738,2.14924,433.24
426.084,2.1526,435.564
426.193,2.15623,436.674
426.108,2.15993,437.358
425.977,2.16347,437.746
425.809,2.16677,437.861
425.984,2.16989,438.363
426.316,2.17276,438.336
426.341,2.17517,437.138
426.317,2.17717,436.061
426.382,2.17889,434.956
426.44,2.18037,433.587
426.813,2.18184,433.378
426.883,2.18331,432.662
426.621,2.18451,431.213
426.019,2.18537,430.583
425.655,2.18582,430.713
425.441,2.1858,430.027
423.82,2.18528,426.112
417.153,2.18504,418.026
410.265,2.18561,414.775
410.192,2.18573,416.638
412.628,2.18467,415.427
417,2.18234,415.923
420.254,2.17925,415.046
420.531,2.17632,412.942
417.782,2.17465,411.013
412.552,2.17455,408.824
410.004,2.17498,409.854
416.503,2.17391,416.816
421.192,2.17178,418.873
423.366,2.16955,418.668
424.492,2.1679,419.443
425.667,2.16708,421.164
426.277,2.16722,421.918
425.429,2.16817,421.21
417.721,2.17022,414.895
386.977,2.17612,393.64
372.007,2.18039,393.562
378.108,2.18029,403.051
403.468,2.17522,415.174
419.117,2.16994,416.855
422.744,2.16701,411.189
423.978,2.16605,410.053
424.004,2.16596,410.17
423.905,2.16601,410.522
423.455,2.166,410.989
422.637,2.16602,411.985
422.122,2.16612,413.458
422.275,2.16613,415.317
422.792,2.16582,417.149
423.196,2.16511,418.753
423.541,2.16421,420.467
423.96,2.16364,422.469
424.54,2.16359,424.462
424.977,2.16381,425.855
424.925,2.16392,426.434
424.282,2.16392,426.585
423.956,2.16419,427.624
424.633,2.16496,429.103
425.303,2.16587,429.682
425.582,2.16673,429.818
425.961,2.16795,430.895
426.378,2.17014,432.308
426.553,2.1734,433.562
426.548,2.17719,434.633
426.482,2.18084,435.587
426.232,2.18397,436.138
425.916,2.18645,436.524
425.619,2.18842,436.784
424.967,2.1899,436.308
423.182,2.19083,434.478
420,2.19143,430.506
418.113,2.19179,427.93
417.978,2.19192,426.389
417.96,2.19189,424.249
416.433,2.1918,420.814
414.102,2.19179,418.083
413.505,2.19179,417.918
416.172,2.19133,419.781
417.687,2.19046,418.821
418.039,2.18918,417.18
415.237,2.18779,412.589
405.132,2.18761,403.794
399.674,2.188,403.744
405.095,2.18727,410.764
416.311,2.18475,417.569
422.679,2.18144,418.556
425.38,2.17803,418.002
426.289,2.17474,417.974
426.164,2.17168,418.158
425.487,2.1689,418.578
425.122,2.16636,419.906
425.533,2.16392,421.47
426.414,2.16145,423.141
426.89,2.15881,424.456
426.78,2.15577,425.546
426.574,2.15218,426.833
426.497,2.14787,427.853
426.413,2.14274,428.333
426.151,2.13694,428.541
425.75,2.13079,428.826
425.426,2.12463,429.32
425.112,2.11895,429.672
423.849,2.11395,428.757
420.741,2.11004,426.236
418.034,2.10765,425.574
415.669,2.10669,424.165
405.115,2.10945,413.28
387.366,2.11867,399.843
373.109,2.13323,393.612
364.092,2.15071,390.198
364.44,2.16538,390.012
372.956,2.17539,389.255
385.194,2.18001,387.882
391.71,2.18202,383.027
387.239,2.18711,373.472
374.615,2.19856,365.043
362.111,2.21487,360.909
354.78,2.23276,360.027
349.622,2.24837,357.572
340.114,2.2622,349.723
325.609,2.27418,338.425
313.856,2.28099,329.394
307.891,2.28153,322.391
299.384,2.2825,310.282
295.241,2.28535,300.398
294.223,2.2899,295.189
295.064,2.29511,291.854
296.952,2.29884,289.494
299.2,2.30111,288.323
301.28,2.30325,288.345
303.502,2.3043,289.503
307.755,2.30074,292.355
318.186,2.29125,299.134
334.098,2.28211,310.261
350.783,2.27951,323.468
372.042,2.27869,342.702
390.204,2.27304,367.534
405.561,2.26167,389.89
415.953,2.25054,402.409
422.029,2.24083,410.897
424.89,2.23115,416.828
426.009,2.22055,420.577
426.57,2.20876,423.532
426.823,2.1958,425.994
426.693,2.18189,428.043
426.117,2.16823,429.741
425.444,2.15487,431.435
425.042,2.14285,433.075
424.887,2.13254,434.282
424.629,2.12375,434.751
424.127,2.11649,434.44
423.323,2.11045,432.857
422.172,2.10597,429.855
421.776,2.10343,428.33
422.034,2.10211,427.47
420.661,2.10211,424.451
413.042,2.10471,415.59
401.702,2.11076,407.807
418.883,2.113,427.773
426.442,2.11275,427.383
426.987,2.11168,419.84
425.998,2.11078,417.549
423.556,2.11076,417.569
419.507,2.11217,415.924
419.515,2.11327,417.459
422.585,2.11285,419.441
424.901,2.11142,419.537
425.845,2.10972,420.106
426.646,2.10837,422.355
426.911,2.10762,423.654
426.689,2.10739,424.309
426.199,2.10752,424.562
425.541,2.108,424.209
425.83,2.10865,425.358
426.347,2.10936,426.051
426.172,2.11026,425.767
427.033,2.11117,428.133
428.256,2.11221,429.803
427.923,2.1135,427.308
425.87,2.11527,423.069
416.064,2.1204,413.815
386.848,2.13916,394.147
376.018,2.16143,395.399
376.29,2.17819,401.116
380.858,2.18901,401.068
385.823,2.19588,397.047
387.701,2.20136,390.766
385.096,2.20817,383.002
381.919,2.21674,377.237
380.647,2.22596,373.409
381.369,2.23458,371.046
381.829,2.24249,368.256
381.596,2.24957,366.488
384.613,2.25434,368.828
390.479,2.25617,372.39
395.203,2.25606,375.28
398.922,2.25499,378.695
403.251,2.25301,383.264
407.403,2.25008,387.479
411.961,2.24585,391.758
417.084,2.24001,395.411
420.43,2.23277,397.356
421.852,2.22441,398.899
421.029,2.21523,400.853
419.537,2.20548,403.283
417.826,2.19514,405.8
418.265,2.18371,409.614
422.021,2.17093,414.68
425.379,2.1584,418.892
426.811,2.14698,421.923
427.193,2.13739,424.432
427.211,2.12997,426.436
427.167,2.12463,427.927
427.243,2.12135,428.936
427.332,2.11886,429.619
427.048,2.11662,429.997
426.226,2.11471,430.088
425.122,2.1133,430.13
424.226,2.11234,429.758
424.62,2.11147,429.455
425.323,2.11065,429.145
425.785,2.11004,428.854
425.999,2.1098,428.559
425.997,2.11048,428.405
425.718,2.11178,428.185
425.445,2.11354,428.373
425.026,2.11579,428.308
424.027,2.11846,427.653
423.591,2.12113,427.749
423.692,2.1235,427.228
422.982,2.12593,425.105
421.446,2.12917,423.026
420.652,2.13291,422.744
422.488,2.13601,424.95
425.484,2.138,426.908
426.618,2.13959,425.75
425.976,2.1414,423.118
423.93,2.14397,420.875
420.932,2.14767,419.27
421.132,2.15112,421.392
424.424,2.15266,425.098
425.959,2.15302,425.379
426.171,2.15296,425.01
425.782,2.15296,425.184
424.705,2.15352,424.47
422.573,2.15518,422.963
420.808,2.15764,422.176
419.35,2.16056,421.647
418.345,2.16358,421.711
419.686,2.16552,424.081
422.586,2.16564,425.95
422.126,2.16561,422.722
416.984,2.16749,417.306
404.636,2.17485,409.23
395.195,2.18593,406.21
389.758,2.19719,404.35
379.166,2.2106,395.046
364.303,2.22725,383.827
356.241,2.24226,380.295
366.536,2.24681,386.88
394.986,2.23948,396.746
400.868,2.22828,386.842
393.401,2.22119,374.997
360.211,2.22897,357.706
346.79,2.2365,361.756
351.065,2.2346,368.299
364.95,2.22335,371.485
375.362,2.20626,371.439
370.468,2.18941,365.932
359.033,2.17575,361.313
351.623,2.16438,360.257
345.557,2.15577,358.149
339.756,2.15081,355.17
338.295,2.14874,354.037
340.171,2.14859,353.581
344.436,2.14911,353.869
354.139,2.14806,357.742
367.319,2.1444,364.384
376.951,2.14049,369.858
385.242,2.13672,375.896
387.351,2.13354,378.897
381.204,2.13237,377.372
361.166,2.13585,370.77
344.803,2.14238,366.865
340.486,2.14806,366.591
350.15,2.14849,369.793
364.633,2.14351,372.633
365.572,2.13817,368.59
345.279,2.1404,354.626
317.825,2.1517,340.245
304.261,2.16751,333.523
296.729,2.19032,325.077
290.686,2.21868,315.295
288.777,2.24254,310.608
289.621,2.25733,309.069
