DEPT    .M ,RMG     .none ,RMN     .none   ,RMN-RMG,CAL     .none ,SP      .none,GR      .none,HAC     .non,BHC     .none,DEN     .none 
732.529,1.734,2.064,0.33,22.2,116.246,109.6,427.457,451.439,2.256
732.579,1.741,2.048,0.307,22.184,116.344,109.793,424.252,461.698,2.247
732.629,1.689,1.995,0.306,22.134,116.539,110.37,424.252,460.574,2.242
732.679,1.634,1.933,0.299,22.065,116.702,110.659,422.97,448.878,2.248
732.729,1.552,1.867,0.315,22.01,116.767,110.948,422.97,440.013,2.267
732.779,1.458,1.806,0.348,21.989,116.767,111.428,427.669,428.425,2.284
732.829,1.447,1.796,0.349,21.989,116.799,112.007,427.671,425.693,2.302
732.879,1.505,1.837,0.332,21.984,116.832,113.161,428.098,423.237,2.3
732.929,1.532,1.861,0.329,21.972,116.799,114.508,428.098,423.451,2.289
732.979,1.54,1.867,0.327,21.976,116.669,115.855,424.039,423.504,2.274
733.029,1.558,1.878,0.32,21.997,116.572,115.855,424.038,423.131,2.254
733.079,1.569,1.894,0.325,22.029,116.8,115.855,422.115,421.795,2.238
733.129,1.554,1.873,0.319,22.063,117.092,115.181,422.116,421.528,2.232
733.179,1.501,1.807,0.306,22.083,117.125,115.085,424.786,423.451,2.243
733.229,1.48,1.788,0.308,22.098,117.19,114.797,424.786,425.534,2.255
733.279,1.497,1.801,0.304,22.113,117.32,114.508,422.33,426.068,2.261
733.329,1.531,1.812,0.281,22.124,117.451,114.123,422.329,427.03,2.268
733.379,1.567,1.841,0.274,22.133,117.711,113.257,422.543,426.816,2.276
733.429,1.583,1.865,0.282,22.137,118.004,113.642,422.543,426.122,2.279
733.479,1.609,1.871,0.262,22.135,118.297,114.604,429.699,424.466,2.281
733.529,1.616,1.855,0.239,22.133,118.59,115.277,429.701,424.092,2.276
733.579,1.612,1.851,0.239,22.129,118.818,115.47,439.316,423.344,2.277
