DEPT    .M    ,RMG     .none ,RMN     .none ,RMN-RMG,CAL     .none ,SP      .none,GR      .none ,HAC     .none,BHC     .none,DEN     .none
851.619,2.715,2.22,-0.495,23.486,102.487,105.542,421.581,413.141,2.243
851.669,2.616,2.13,-0.486,23.38,102.487,107.013,427.563,415.865,2.238
851.719,2.365,2.108,-0.257,23.46,102.487,109.464,424.681,415.705,2.227
851.769,2.31,2.165,-0.145,23.526,102.487,112.116,411.213,415.439,2.201
851.819,2.383,2.005,-0.378,23.456,102.487,115.351,400.427,416.827,2.187
851.869,2.482,1.965,-0.517,23.374,102.487,117.117,399.466,418.056,2.182
851.919,2.795,2.473,-0.322,23.504,102.418,117.313,407.904,421.687,2.179
851.969,3.015,2.803,-0.212,23.916,102.209,116.43,412.605,423.984,2.178
852.019,3.096,2.761,-0.335,24.484,102.07,115.154,416.559,427.029,2.177
852.069,3.205,2.759,-0.446,24.947,102.209,114.468,413.888,424.786,2.186
852.119,3.119,2.662,-0.457,25.178,102.279,114.272,411.432,422.436,2.196
852.169,2.747,2.436,-0.311,25.197,102.07,114.37,411.218,417.202,2.205
852.219,2.479,2.308,-0.171,25.042,101.931,113.684,414.849,415.546,2.21
852.269,2.676,2.463,-0.213,24.75,101.931,112.801,424.894,412.285,2.212
852.319,3.006,2.669,-0.337,24.413,101.931,112.604,427.348,409.72,2.217
852.369,3.105,2.812,-0.293,24.164,101.931,112.31,417.628,401.068,2.23
852.419,3.198,2.995,-0.203,24.028,101.862,112.212,402.888,395.461,2.247
852.469,3.333,3.188,-0.145,23.945,101.792,110.938,365.403,386.81,2.259
852.519,3.466,3.433,-0.033,23.857,101.862,109.858,353.097,384.509,2.277
852.569,3.464,3.366,-0.098,23.779,101.931,109.269,350.643,384.99,2.308
852.619,3.1,2.899,-0.201,23.769,101.931,109.171,358.333,387.18,2.332
852.669,2.679,2.6,-0.079,23.788,101.862,108.681,372.005,388.621,2.349
852.719,2.46,2.602,0.142,23.711,101.584,107.799,376.28,388.088,2.358
852.769,2.607,2.848,0.241,23.507,101.376,107.504,380.35,388.356,2.359
852.819,2.954,2.97,0.016,23.276,101.584,108.486,397.441,391.557,2.356
852.869,2.89,2.731,-0.159,23.136,102.001,112.31,420.085,395.364,2.342
852.919,2.533,2.436,-0.097,23.146,102.209,116.135,428.951,397.99,2.314
852.969,2.361,2.227,-0.134,23.217,102.14,118.783,440.059,402.043,2.269
853.019,2.648,2.296,-0.352,23.195,102.14,120.354,445.195,404.844,2.233
853.069,2.993,2.377,-0.616,23.007,102.209,121.237,450.32,409.179,2.209
853.119,2.782,2.251,-0.531,22.729,102.279,122.904,448.611,412.164,2.193
853.169,2.504,2.24,-0.264,22.507,102.417,123.492,437.503,416.789,2.194
853.219,2.473,2.348,-0.125,22.392,102.487,123.59,432.268,419.971,2.197
853.269,2.533,2.522,-0.011,22.361,102.418,123.099,429.701,424.878,2.209
853.319,2.59,2.553,-0.037,22.368,102.487,121.334,430.128,428.203,2.229
853.369,2.701,2.402,-0.299,22.382,102.695,119.471,430.876,433.169,2.225
853.419,2.685,2.347,-0.338,22.414,102.626,116.235,430.128,436.363,2.219
853.469,2.455,2.373,-0.082,22.529,102.487,112.802,429.701,440.72,2.209
853.519,2.497,2.446,-0.051,22.823,102.557,109.563,434.297,443.153,2.195
853.569,2.582,2.447,-0.135,23.334,102.765,107.798,438.677,445.714,2.187
853.619,2.674,2.628,-0.046,23.947,102.904,106.915,446.795,446.485,2.184
853.669,2.832,2.792,-0.04,24.483,102.834,105.739,446.047,445.918,2.187
853.719,2.845,2.648,-0.197,24.891,102.765,104.366,442.95,444.257,2.198
853.769,2.846,2.568,-0.278,25.123,102.695,103.384,436.644,439.731,2.212
853.819,2.667,2.417,-0.25,25.149,102.556,102.796,434.723,435.381,2.225
853.869,2.531,2.262,-0.269,25.066,102.487,103.09,437.073,427.011,2.237
853.919,2.486,2.17,-0.316,24.98,102.487,102.992,442.52,420.352,2.243
853.969,2.342,2.182,-0.16,24.916,102.487,103.58,454.908,409.067,2.255
854.019,2.556,2.459,-0.097,24.809,102.487,103.973,455.546,401.06,2.263
