DEPT    .M,RMG     .ohmm   ,RMN     .ohmm,RMN-RMG,CAL     .cm  ,SP      .mv   ,GR      .   ,HAC     .us/m  ,BHC     .   ,DEN     .g/cm3
810.67,2.753,2.715,-0.038,22.194,130.964,118.758,377.244,404.594,2.257
810.72,2.505,2.669,0.164,22.122,130.949,117.861,386.432,406.464,2.271
810.77,2.25,2.479,0.229,21.994,130.939,114.608,408.12,410.363,2.275
810.82,2.094,2.268,0.174,21.878,130.95,112.477,416.346,412.18,2.273
810.87,1.935,2.18,0.245,21.842,130.962,112.252,419.872,413.194,2.268
810.92,1.919,2.27,0.351,21.887,130.98,112.477,417.201,410.791,2.261
810.97,2.191,2.523,0.332,21.952,131.052,111.691,408.868,404.861,2.251
811.02,2.654,2.725,0.071,21.92,131.198,109.448,410.15,403.953,2.246
811.07,2.875,2.665,-0.21,21.81,131.356,107.765,423.611,408.921,2.236
811.12,2.729,2.493,-0.236,21.757,131.437,107.877,433.333,414.209,2.224
811.17,2.61,2.38,-0.23,21.785,131.424,109.336,449.145,421.635,2.206
811.22,2.576,2.319,-0.257,21.871,131.372,110.233,452.03,421.474,2.187
811.27,2.497,2.309,-0.188,22.011,131.336,110.233,448.932,417.842,2.181
811.32,2.328,2.264,-0.064,22.19,131.315,109.336,436.432,418.536,2.185
811.37,2.114,2.195,0.081,22.394,131.279,109.784,432.372,426.763,2.196
811.42,2.122,2.228,0.106,22.56,131.22,111.018,433.974,430.93,2.218
811.47,2.297,2.299,0.002,22.617,131.146,112.813,436.859,434.028,2.232
811.52,2.342,2.293,-0.049,22.6,131.077,112.813,434.081,432.051,2.248
811.57,2.37,2.291,-0.079,22.561,131.021,111.467,412.073,425.16,2.249
811.62,2.53,2.35,-0.18,22.497,130.999,109.784,401.816,423.184,2.242
811.67,2.583,2.422,-0.161,22.37,131.029,109.336,400,425.321,2.221
811.72,2.495,2.516,0.021,22.164,131.1,108.775,410.791,430.823,2.197
811.77,2.453,2.539,0.086,21.963,131.17,107.877,436.004,440.278,2.186
811.82,2.467,2.483,0.016,21.856,131.203,106.868,437.607,440.331,2.176
811.87,2.507,2.444,-0.063,21.856,131.184,105.634,435.363,438.088,2.175
811.92,2.502,2.376,-0.126,21.9,131.105,106.195,434.615,437.714,2.17
811.97,2.492,2.327,-0.165,21.9,130.972,107.092,438.675,439.53,2.172
812.02,2.454,2.29,-0.164,21.838,130.816,108.326,443.91,441.72,2.176
812.07,2.301,2.218,-0.083,21.732,130.691,109.224,445.085,442.361,2.191
