DEPT    .M ,RMG     .ohmm  ,RMN     .ohmm  ,RMN-RMG,CAL     .cm   ,SP      .mv   ,GR      .  ,HAC     .us/m ,BHC     .   ,DEN     .g/cm3 
932.519,5.016,4.542,-0.474,22.332,108.52,120.748,404.38,389.843,2.055
932.569,4.584,4.272,-0.312,22.465,108.484,120.939,407.906,390.362,2.055
932.619,3.967,3.884,-0.083,22.568,108.431,119.888,410.577,391.125,2.052
932.669,4.35,4.034,-0.316,22.608,108.342,118.549,409.188,392.575,2.049
932.719,4.677,4.374,-0.303,22.596,108.342,117.689,408.013,397.451,2.049
932.769,4.654,4.63,-0.024,22.566,108.413,115.586,408.227,400.87,2.05
932.819,5.063,4.774,-0.289,22.555,108.555,113.77,408.333,405.288,2.052
932.869,5.211,4.641,-0.57,22.6,108.769,112.623,408.013,407.212,2.056
932.919,4.673,4.421,-0.252,22.687,108.822,112.337,405.235,409.119,2.066
932.969,4.865,4.464,-0.401,22.739,108.715,112.623,403.098,410.295,2.081
933.019,5.053,4.32,-0.733,22.736,108.644,114.057,402.564,412.195,2.088
933.069,4.084,3.685,-0.399,22.696,108.591,116.16,405.128,413.698,2.096
933.119,3.307,3.068,-0.239,22.638,108.538,118.263,409.936,415.125,2.1
933.169,3.05,2.76,-0.29,22.592,108.467,119.696,417.308,415.339,2.105
933.219,2.947,2.805,-0.142,22.603,108.396,120.652,418.697,414.324,2.117
933.269,3.352,3.151,-0.201,22.65,108.413,121.704,413.996,413.874,2.122
933.319,4.443,4.173,-0.27,22.662,108.467,122.277,403.846,414.087,2.131
933.369,6.028,5.525,-0.503,22.62,108.502,122.564,398.291,414.805,2.133
933.419,6.216,5.418,-0.798,22.534,108.52,122.468,398.397,414.789,2.135
933.469,5.021,4.446,-0.575,22.47,108.52,122.755,402.137,413.935,2.133
933.519,4.596,3.965,-0.631,22.487,108.591,122.659,407.906,411.287,2.126
933.569,4.43,3.842,-0.588,22.556,108.715,121.512,408.12,409.486,2.126
933.619,4.14,4.018,-0.122,22.633,108.769,121.799,406.624,406.136,2.141
933.669,4.434,4.277,-0.157,22.675,108.786,121.035,407.265,403.716,2.17
933.719,4.706,4.437,-0.269,22.662,108.875,121.99,406.197,400.42,2.187
933.769,4.556,4.388,-0.168,22.61,109.017,122.755,404.487,398.871,2.192
933.819,4.53,4.303,-0.227,22.557,109.106,123.424,398.611,398.97,2.195
933.869,4.695,4.595,-0.1,22.554,109.124,122.946,399.786,400.137,2.197
933.919,5.852,5.666,-0.186,22.631,109.053,121.13,403.205,402.587,2.199
933.969,7.68,6.663,-1.017,22.787,108.929,118.836,403.526,403.35,2.2
934.019,7.067,5.59,-1.477,23.011,108.875,117.02,398.718,402.778,2.202
934.069,4.373,3.421,-0.952,23.222,108.84,113.77,385.47,402.106,2.21
934.119,2.6,2.427,-0.173,23.243,108.715,110.521,383.333,402.183,2.218
934.169,2.171,2.27,0.099,23.056,108.627,107.749,383.547,402.877,2.226
934.219,2.229,2.274,0.045,22.837,108.733,106.411,385.897,403.114,2.229
934.269,2.369,2.472,0.103,22.69,108.858,104.881,386.752,402.526,2.229
934.319,2.531,2.682,0.151,22.652,108.893,103.448,382.158,402.076,2.229
934.369,2.602,2.75,0.148,22.683,108.929,103.448,380.021,402.747,2.228
934.419,2.511,2.781,0.27,22.707,108.929,104.308,378.312,404.182,2.233
934.469,2.416,2.851,0.435,22.693,108.929,104.117,378.419,404.808,2.229
934.519,2.427,2.896,0.469,22.582,108.982,103.639,387.393,404.96,2.229
934.569,2.477,2.923,0.446,22.406,109.053,101.154,391.987,404.548,2.232
934.619,2.509,2.857,0.348,22.275,109.089,99.242,397.009,403.587,2.228
934.669,2.518,2.739,0.221,22.249,109.053,96.853,401.282,403.266,2.226
934.719,2.507,2.717,0.21,22.353,108.946,95.036,403.739,403.785,2.218
934.769,2.502,2.769,0.267,22.541,108.858,94.081,404.808,403.922,2.22
934.819,2.526,2.72,0.194,22.713,108.84,93.412,401.603,404.426,2.223
934.869,2.404,2.531,0.127,22.783,108.822,95.228,398.825,405.907,2.222
934.919,2.308,2.44,0.132,22.755,108.822,98.669,399.466,409.051,2.228
934.969,2.455,2.492,0.037,22.685,108.822,102.874,403.312,410.447,2.226
935.019,2.45,2.493,0.043,22.61,108.769,108.131,413.248,411.187,2.23
935.069,2.357,2.444,0.087,22.563,108.715,111.954,416.987,411.836,2.227
935.119,2.358,2.301,-0.057,22.615,108.68,114.726,419.124,413.851,2.228
935.169,2.247,2.063,-0.184,22.752,108.609,116.351,418.162,414.995,2.232
935.219,2.526,2.49,-0.036,22.82,108.555,118.167,420.192,415.995,2.228
935.269,3.2,3.113,-0.087,22.76,108.627,118.932,422.97,416.216,2.229
935.319,3.131,2.768,-0.363,22.601,108.769,118.645,422.329,416.361,2.238
935.369,2.543,2.359,-0.184,22.455,108.84,117.02,417.735,416.4,2.264
935.419,2.289,2.315,0.026,22.441,108.822,115.013,409.295,416.651,2.282
935.469,2.102,2.141,0.039,22.51,108.804,112.432,408.868,416.438,2.298
935.519,1.91,1.961,0.051,22.609,108.715,111.668,408.654,413.82,2.311
935.569,1.814,1.859,0.045,22.7,108.627,111.859,406.41,410.485,2.32
935.619,1.691,1.803,0.112,22.752,108.662,112.623,404.701,404.907,2.325
935.669,1.786,1.845,0.059,22.799,108.68,112.432,406.838,401.335,2.323
935.719,1.917,1.921,0.004,22.847,108.698,111.859,411.538,395.52,2.316
935.769,1.785,1.982,0.197,22.899,108.751,111.763,408.013,391.155,2.308
935.819,1.837,2.147,0.31,22.907,108.786,110.999,397.543,384.112,2.307
935.869,2.157,2.451,0.294,22.832,108.804,110.807,363.462,380.899,2.315
935.919,2.62,2.963,0.343,22.681,108.751,111.19,337.393,379.556,2.328
935.969,3.027,3.331,0.304,22.513,108.662,111.381,334.722,381.647,2.33
936.019,2.921,3.176,0.255,22.482,108.644,111.19,349.038,386.172,2.325
936.069,2.411,2.737,0.326,22.602,108.733,110.616,360.363,389.08,2.317
936.119,2.058,2.423,0.365,22.783,108.858,110.999,378.739,392.292,2.309
936.169,2.137,2.418,0.281,22.938,108.929,110.807,384.188,394.025,2.297
936.219,2.459,2.513,0.054,23.001,108.982,110.234,393.269,397.413,2.284
936.269,2.607,2.481,-0.126,23.031,109.106,110.616,399.68,399.71,2.27
936.319,2.536,2.399,-0.137,23.098,109.248,110.329,417.308,404.533,2.252
936.369,2.679,2.453,-0.226,23.196,109.284,111.094,427.564,408.394,2.231
936.419,2.956,2.625,-0.331,23.262,109.213,111.094,449.252,416.422,2.212
936.469,2.958,2.732,-0.226,23.249,109.124,112.623,457.479,421.623,2.183
936.519,2.733,2.711,-0.022,23.204,109.089,113.579,463.141,428.314,2.158
936.569,2.625,2.705,0.08,23.149,109.089,113.77,461.752,431.779,2.135
936.619,2.83,2.782,-0.048,23.052,109.089,114.057,460.47,436.636,2.117
936.669,3.176,3.007,-0.169,22.92,109.035,113.866,456.303,439.691,2.104
936.719,3.398,3.336,-0.062,22.812,108.911,113.197,452.244,443.957,2.099
936.769,3.493,3.312,-0.181,22.774,108.804,112.719,447.009,446.574,2.101
936.819,3.281,2.88,-0.401,22.783,108.715,112.815,432.479,450.078,2.112
936.869,2.64,2.524,-0.116,22.799,108.627,111.763,427.885,452.053,2.128
936.919,2.32,2.462,0.142,22.806,108.644,110.234,426.709,454.24,2.147
936.969,2.502,2.53,0.028,22.815,108.769,108.227,428.312,454.996,2.168
937.019,2.492,2.448,-0.044,22.833,108.875,107.558,434.402,454.717,2.19
937.069,2.25,2.187,-0.063,22.836,108.911,107.08,437.821,453.397,2.208
937.119,2.044,2.007,-0.037,22.832,108.911,107.366,439.53,449.52,2.225
937.169,1.946,1.989,0.043,22.865,108.893,107.653,438.996,445.715,2.243
937.219,1.891,1.989,0.098,22.925,108.822,108.991,439.637,438.646,2.26
937.269,1.915,1.964,0.049,22.962,108.68,110.712,438.782,432.199,2.267
937.319,2.063,1.962,-0.101,22.959,108.555,112.528,439.957,418.701,2.27
937.369,1.994,1.917,-0.077,22.915,108.502,113.293,441.667,407.998,2.272
937.419,1.962,1.754,-0.208,22.845,108.449,112.623,439.744,390.4,2.273
937.469,2.099,1.694,-0.405,22.778,108.431,110.903,425.855,377.679,2.293
937.519,2.272,2.223,-0.049,22.742,108.467,108.705,376.389,359.531,2.317
937.569,2.801,3.097,0.296,22.738,108.467,106.889,341.346,348.741,2.362
937.619,4.006,4.515,0.509,22.741,108.431,104.977,272.115,338.309,2.41
